date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:32	114/114	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Aug%202022%2005:59:31%20GMT	https://thecleverprogrammer.com/robots.txt		(from )
11:29:33	170051/170051	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2005:59:32%20GMT	https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/	C:/Python_in_an_interactive_way/python-projects-with-source-code/thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/index.html	(from )
11:29:34	673/673	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:33%20GMT	http://g.ezoic.net/detroitchicago/boise.js?gcb=195-0&cb=2	C:/Python_in_an_interactive_way/python-projects-with-source-code/g.ezoic.net/detroitchicago/boise420f.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:34	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:33%20GMT	https://thecleverprogrammer.com/detroitchicago/boise.js	C:/Python_in_an_interactive_way/python-projects-with-source-code/thecleverprogrammer.com/detroitchicago/boise.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:35	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:34%20GMT	https://thecleverprogrammer.com/detroitchicago/memphis.js	C:/Python_in_an_interactive_way/python-projects-with-source-code/thecleverprogrammer.com/detroitchicago/memphis.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:35	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:34%20GMT	http://g.ezoic.net/detroitchicago/memphis.js?gcb=195-0&cb=21	C:/Python_in_an_interactive_way/python-projects-with-source-code/g.ezoic.net/detroitchicago/memphisf5cf.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:36	619/619	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:35%20GMT	http://g.ezoic.net/detroitchicago/minneapolis.js?gcb=195-0&cb=4	C:/Python_in_an_interactive_way/python-projects-with-source-code/g.ezoic.net/detroitchicago/minneapolis453e.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:36	619/619	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:35%20GMT	https://thecleverprogrammer.com/detroitchicago/minneapolis.js	C:/Python_in_an_interactive_way/python-projects-with-source-code/thecleverprogrammer.com/detroitchicago/minneapolis.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:36	2175/2175	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:36%20GMT	http://g.ezoic.net/detroitchicago/rochester.js?gcb=195-0&cb=14	C:/Python_in_an_interactive_way/python-projects-with-source-code/g.ezoic.net/detroitchicago/rochester1dcc.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
11:29:36	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Aug%202022%2005:59:36%20GMT	https://thecleverprogrammer.com/detroitchicago/rochester.js	C:/Python_in_an_interactive_way/python-projects-with-source-code/thecleverprogrammer.com/detroitchicago/rochester.js	(from https://thecleverprogrammer.com/2021/01/14/python-projects-with-source-code/)
